ICAO,Name,State/Territory,Country,Timezone
EKYT,Aalborg Airport,,Denmark,Europe/Copenhagen
EKAH,Aarhus Airport,,Denmark,Europe/Copenhagen
OIAA,Abadan Ayatollah Jami International Airport,,Iran,Asia/Tehran
CYXX,Abbotsford International Airport,British Columbia,Canada,America/Vancouver
KABR,Aberdeen Regional Airport,South Dakota,United States,America/Chicago
EGPD,Aberdeen International Airport,,United Kingdom,Europe/London
OEAB,Abha International Airport,,Saudi Arabia,Asia/Riyadh
DIAP,Felix-Houphouet-Boigny International Airport,,Cote D'Ivoire,Africa/Abidjan
KABI,Abilene Regional Airport,Texas,United States,America/Chicago
OMAA,Zayed International Airport,,United Arab Emirates,Asia/Dubai
DNAA,Nnamdi Azikiwe International Airport,,Nigeria,Africa/Lagos
MMAA,General Juan N. Alvarez International Airport,,Mexico,America/Mexico_City
DGAA,Kotoka International Airport,,Ghana,Africa/Accra
PADK,Adak Airport,Alaska,United States,America/Adak
HAAB,Addis Ababa Bole International Airport,,Ethiopia,Africa/Addis_Ababa
YPAD,Adelaide International Airport,South Australia,Australia,Australia/Adelaide
TJBQ,Rafael Hernandez International Airport,,Puerto Rico,America/Puerto_Rico
MMAS,Aguascalientes International Airport,,Mexico,America/Mexico_City
VAAH,Sardar Vallabh Patel International Airport,,India,Asia/Calcutta
KCAK,Akron Canton Regional Airport,Ohio,United States,America/New_York
ZWAK,Aksu Hongqipo Airport,,China,Asia/Shanghai
OEBA,King Saud Bin Abdulaziz (Al Baha) Airport,,Saudi Arabia,Asia/Riyadh
KABY,Southwest Georgia Regional Airport,Georgia,United States,America/New_York
KALB,Albany International Airport,New York,United States,America/New_York
KABQ,Albuquerque International Sunport,New Mexico,United States,America/Denver
ENAL,Alesund Airport,,Norway,Europe/Oslo
HEBA,Alexandria International Airport,,Egypt,Africa/Cairo
HEAX,Alexandria,,Egypt,Africa/Cairo
KAEX,Alexandria International Airport,Louisiana,United States,America/Chicago
KESF,Esler Army Airfield / Esler Regional Airport,Louisiana,United States,America/Chicago
LIEA,Alghero-Fertilia Airport,,Italy,Europe/Rome
DAAG,Houari Boumediene Airport,,Algeria,Africa/Algiers
LEAL,Alicante-Elche Miguel Hernandez Airport,,Spain,Europe/Madrid
YBAS,Alice Springs Airport,Northern Territory,Australia,Australia/Darwin
OESK,Al-Jawf International Airport,,Saudi Arabia,Asia/Riyadh
VIAL,Prayagraj Airport,,India,Asia/Calcutta
VEAB,Prayagraj,,India,Asia/Kolkata
KABE,Lehigh Valley International Airport,Pennsylvania,United States,America/New_York
KAIA,Alliance Municipal Airport,Nebraska,United States,America/Denver
ORNI,Al Najaf International Airport,,Iraq,Asia/Baghdad
KAPN,Alpena County Regional Airport,Michigan,United States,America/New_York
OEPA,Al Qaisumah/Hafr Al Batin Airport,,Saudi Arabia,Asia/Riyadh
ENAT,Alta Airport,,Norway,Europe/Oslo
ZWAT,Altay Xuedu Airport,,China,Asia/Shanghai
OEAO,Al-Ula International Airport,,Saudi Arabia,Asia/Riyadh
KAMA,Rick Husband Amarillo International Airport,Texas,United States,America/Chicago
WAPP,Pattimura International Airport,,Indonesia,Asia/Jayapura
OJAI,Queen Alia International Airport,,Jordan,Asia/Amman
EHAM,Amsterdam Airport Schiphol,,Netherlands,Europe/Amsterdam
PANC,Ted Stevens Anchorage International Airport,Alaska,United States,America/Anchorage
LTAC,Esenboga International Airport,,Turkey,Europe/Istanbul
ZYAS,Anshan Teng'ao Airport / Anshan Air Base,,China,Asia/Shanghai
FMMI,Ivato International Airport,,Madagascar,Indian/Antananarivo
SCFA,Andres Sabella Galvez International Airport,,Chile,America/Santiago
EBAW,Antwerp International Airport (Deurne),,Belgium,Europe/Brussels
NSFA,Faleolo International Airport,,Samoa,Pacific/Apia
KATW,Appleton International Airport,Wisconsin,United States,America/Chicago
SBAR,Aracaju - Santa Maria Airport,,Brazil,America/Fortaleza
OERR,Arar Domestic Airport,,Saudi Arabia,Asia/Riyadh
ESNX,Arvidsjaur Airport,,Sweden,Europe/Stockholm
RJEC,Asahikawa Airport,,Japan,Asia/Tokyo
FHAW,RAF Ascension Island,,"Saint Helena, Ascension And Tristan Da Cunha",Atlantic/St_Helena
KAVL,Asheville Regional Airport,North Carolina,United States,America/New_York
KASE,Aspen-Pitkin County Airport (Sardy Field),Colorado,United States,America/Denver
UACC,Nursultan Nazarbayev International Airport,,Kazakhstan,Asia/Qyzylorda
KAST,Astoria Regional Airport,Oregon,United States,America/Los_Angeles
SGAS,Silvio Pettirossi International Airport,,Paraguay,America/Asuncion
LGAV,Athens Eleftherios Venizelos International Airport,,Greece,Europe/Athens
KATL,Hartsfield Jackson Atlanta International Airport,Georgia,United States,America/New_York
KACY,Atlantic City International Airport,New Jersey,United States,America/New_York
KLEW,Auburn Lewiston Municipal Airport,Maine,United States,America/New_York
NZAA,Auckland International Airport,,New Zealand,Pacific/Auckland
KAGS,Augusta Regional At Bush Field,Georgia,United States,America/New_York
KAUG,Augusta State Airport,Maine,United States,America/New_York
KAUS,Austin Bergstrom International Airport,Texas,United States,America/Chicago
KAVX,Catalina Airport,California,United States,America/Los_Angeles
YAYE,Ayers Rock Connellan Airport,Northern Territory,Australia,Australia/Darwin
ORBI,Baghdad International Airport / New Al Muthana Air Base,,Iraq,Asia/Baghdad
SAZB,Comandante Espora Airport,,Argentina,America/Buenos_Aires
OBBI,Bahrain International Airport,,Bahrain,Asia/Bahrain
LRBM,Maramures International Airport,,Romania,Europe/Bucharest
ZYBS,Changbaishan Airport,,China,Asia/Shanghai
KBKE,Baker City Municipal Airport,Oregon,United States,America/Los_Angeles
KBFL,Meadows Field,California,United States,America/Los_Angeles
WADD,Denpasar I Gusti Ngurah Rai International Airport,,Indonesia,Asia/Makassar
WALL,Sultan Aji Muhammad Sulaiman Sepinggan International Airport,,Indonesia,Asia/Makassar
