Aircraft Profile,Full Aircraft Name,Virtual Airlines,Maximum Range,Minimum Takeoff Runway Length,Minimum Landing Runway Length,Passenger Capacity,IATA Equipment Code(s),ETOPS Rating,Maximum Weight,Maximum Zero Fuel Weight,Maximum Takeoff Weight,Maximum Landing Weight,Engine Information,Cruise Speed,Fuel Flow,Base Fuel,Taxi Fuel,Primary Tanks,Primary Percentage,Secondary Tanks,Secondary Percentage,Other Tanks
A220-100,Bombardier/Airbus A220-100,DVA,"2,415 Statute Miles","4,800 feet","4,550 feet",109 seats,"220, 221",This Aircraft is ETOPS-rated (ETOPS180),"135,000 pounds","111,000 pounds","134,000 pounds","115,600 pounds",2 x PW1500G,515 knots,"2,500 pounds per engine per hour","5,000 pounds",250 pounds,"Left Main, Right Main",Fill to 90 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
A220-300,Bombardier/Airbus A220-300,DVA,"2,460 Statute Miles","4,800 feet","4,550 feet",130 seats,"220, 223",This Aircraft is ETOPS-rated (ETOPS180),"149,000 pounds","123,000 pounds","149,000 pounds","122,000 pounds",2 x PW1500G,515 knots,"2,500 pounds per engine per hour","5,000 pounds",250 pounds,"Left Main, Right Main",Fill to 90 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
A300-200,Airbus A300B4-200,"AFV, DVA","3,400 Statute Miles","9,000 feet","5,000 feet",266 seats,"AB3, AB4",This is a Historic Aircraft This Aircraft is ETOPS-rated (ETOPS90),"364,000 pounds","260,000 pounds","360,000 pounds","351,000 pounds",2 x GE CF6-50C,440 knots,"5,500 pounds per engine per hour","1,500 pounds","1,000 pounds","Left Main, Right Main",Fill to 95 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
A300-600,Airbus A300-600,"AFV, DVA","4,000 Statute Miles","7,000 feet","4,500 feet",266 seats,"306, AB6, ABF, ABX, ABY",This is a Historic Aircraft This Aircraft is ETOPS-rated (ETOPS180),"380,500 pounds","286,600 pounds","378,500 pounds","308,600 pounds",2 x GE CF6-80C2 or PW4158,450 knots,"5,450 pounds per engine per hour","5,000 pounds","2,000 pounds","Center, Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,NONE,Fill to 0 percent before filling Other tanks,NONE
A310,Airbus A310-200,"AFV, DVA","5,150 Statute Miles","6,000 feet","4,500 feet",238 seats,"310, 312, 313, 31F, 31X, 31Y",This is a Historic Aircraft This Aircraft is ETOPS-rated (ETOPS180),"338,207 pounds","251,327 pounds","337,307 pounds","273,373 pounds",2 x P&W JT9D,450 knots,"4,930 pounds per engine per hour","5,000 pounds","2,000 pounds","Left Main, Right Main",Fill to 90 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,"Center 2, Left Aux, Right Aux"
A318,Airbus A318-100,"AFV, DVA","3,742 Statute Miles","4,400 feet","4,400 feet",107 seats,318,This Aircraft is ETOPS-rated (ETOPS180),"150,796 pounds","120,152 pounds","149,914 pounds","126,766 pounds",2 x CFM56-5B8,460 knots,"2,760 pounds per engine per hour","4,000 pounds","1,500 pounds","Left Main, Right Main",Fill to 95 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
A319,Airbus A319-100,"AFV, DVA","4,260 Statute Miles","4,800 feet","4,400 feet",132 seats,"319, 31W",This Aircraft is ETOPS-rated (ETOPS180),"162,922 pounds","128,970 pounds","162,040 pounds","137,789 pounds",2 x CFM56-3C,460 knots,"2,850 pounds per engine per hour","5,000 pounds","2,000 pounds","Left Main, Right Main",Fill to 90 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
A320,Airbus A320-200,"AFV, DVA","3,838 Statute Miles","5,699 feet","4,000 feet",154 seats,"320, 32A, 32S",This Aircraft is ETOPS-rated (ETOPS180),"175,047 pounds","141,757 pounds","174,165 pounds","148,591 pounds",2 x CFM56-5A,400 knots,"2,890 pounds per engine per hour","4,000 pounds","1,500 pounds","Left Main, Right Main",Fill to 95 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,"Left Aux, Right Aux"
A320neo,Airbus A320neo,"AFV, DVA","4,504 Statute Miles","4,340 feet","4,340 feet",180 seats,32N,This Aircraft is ETOPS-rated (ETOPS180),"175,047 pounds","141,757 pounds","174,165 pounds","148,591 pounds",2 x CFM56-5B LEAP,450 knots,"3,200 pounds per engine per hour","3,000 pounds","1,000 pounds","Left Main, Right Main",Fill to 95 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
A321,Airbus A321-100,"AFV, DVA","3,685 Statute Miles","4,680 feet","4,900 feet",192 seats,"321, 32B",This Aircraft is ETOPS-rated (ETOPS180),"205,912 pounds","162,701 pounds","205,912 pounds","171,520 pounds",2 x CFM56-5B,450 knots,"3,200 pounds per engine per hour","5,000 pounds","2,000 pounds","Left Main, Right Main",Fill to 90 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
A321neo,Airbus A321neo,"AFV, DVA","4,000 Statute Miles","4,680 feet","4,900 feet",194 seats,"21N, 32Q, 3NE",This Aircraft is ETOPS-rated (ETOPS180),"205,912 pounds","162,701 pounds","205,912 pounds","174,606 pounds",2 x CFM56-5B LEAP,450 knots,"3,200 pounds per engine per hour","5,000 pounds","2,000 pounds","Left Main, Right Main",Fill to 90 percent before filling Secondary tanks,NONE,Fill to 0 percent before filling Other tanks,NONE
A330-200,Airbus A330-200,"AFV, DVA","8,630 Statute Miles","7,546 feet","3,500 feet",234 seats,"330, 332, I93, I9M, IL9",This Aircraft is ETOPS-rated (ETOPS240),"526,684 pounds","374,786 pounds","524,700 pounds","401,241 pounds",2 x GE CF6-80E,465 knots,"5,610 pounds per engine per hour","6,000 pounds","2,000 pounds","Center, Left Main, Right Main",Fill to 95 percent before filling Secondary tanks,"Left Aux, Right Aux",Fill to 0 percent before filling Other tanks,Center 2
A330-300,A330-300,"AFV, DVA","6,736 Statute Miles","7,546 feet","5,500 feet",293 seats,"330, 333",This Aircraft is ETOPS-rated (ETOPS240),"533,610 pounds","385,805 pounds","533,610 pounds","428,260 pounds",2 x GE CF6-80E1,465 knots,"5,610 pounds per engine per hour","8,500 pounds","2,000 pounds","Left Main, Right Main",Fill to 95 percent before filling Secondary tanks,"Center, Center 2",Fill to 100 percent before filling Other tanks,"Center 2, Center 3, Left Aux, Right Aux"
A330-900,A330-900 Neo,"AFV, DVA","8,285 Statute Miles","7,710 feet","6,000 feet",281 seats,339,This Aircraft is ETOPS-rated (ETOPS240),"555,344 pounds","491,018 pounds","553,360 pounds","421,083 pounds",2 x Rolls-Royce Trent 7000-72,465 knots,"8,610 pounds per engine per hour","6,000 pounds","2,000 pounds","Center, Left Main, Right Main",Fill to 95 percent before filling Secondary tanks,"Left Aux, Right Aux",Fill to 95 percent before filling Other tanks,Center 2
A340-200,Airbus A340-200,"AFV, DVA","7,710 Statute Miles","6,000 feet","5,000 feet",240 seats,342,,"606,300 pounds","424,700 pounds","606,300 pounds","399,000 pounds",4 x CFM56-5C,480 knots,"3,700 pounds per engine per hour","5,000 pounds","2,500 pounds","Left Main, Right Main",Fill to 95 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,"Center 2, Center 3, Left Aux, Right Aux"
A340-300,Airbus A340-300,"AFV, DVA","8,521 Statute Miles","6,000 feet","6,000 feet",295 seats,"340, 343",,"608,300 pounds","403,300 pounds","606,000 pounds","423,000 pounds",4 x CFM56-5C4,430 knots,"3,700 pounds per engine per hour","5,000 pounds","2,500 pounds","Left Main, Right Main",Fill to 90 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,"Center 2, Center 3, Left Aux, Right Aux"
A340-500,Airbus A340-500,"AFV, DVA","10,357 Statute Miles","6,000 feet","7,000 feet",313 seats,345,,"821,000 pounds","506,900 pounds","820,100 pounds","535,700 pounds",4 x RR Trent 500,465 knots,"5,275 pounds per engine per hour","6,000 pounds","2,500 pounds","Center, Left Main, Right Main",Fill to 90 percent before filling Secondary tanks,"Center 2, Left Aux, Right Aux",Fill to 100 percent before filling Other tanks,NONE
A340-600,Airbus A340-600,"AFV, DVA","9,091 Statute Miles","8,500 feet","6,905 feet",380 seats,346,,"813,900 pounds","540,000 pounds","811,300 pounds","571,000 pounds",4 x RR Trent 556,465 knots,"5,775 pounds per engine per hour","6,000 pounds","2,500 pounds","Center, Left Main, Right Main",Fill to 0 percent before filling Secondary tanks,NONE,Fill to 0 percent before filling Other tanks,NONE
A350-1000,Airbus A350-1000 XWB,"AFV, DVA","10,012 Statute Miles","9,000 feet","4,500 feet",369 seats,"350, 35K",This Aircraft is ETOPS-rated (ETOPS330),"705,300 pounds","491,631 pounds","703,300 pounds","520,300 pounds",2 x Trent XWB-97,487 knots,"7,500 pounds per engine per hour","8,000 pounds",500 pounds,"Center, Left Main",Fill to 95 percent before filling Secondary tanks,NONE,Fill to 100 percent before filling Other tanks,NONE
A350-900,Airbus A350 XWB,"AFV, DVA","9,321 Statute Miles","7,200 feet","6,400 feet",324 seats,"350, 351, 358, 359",This Aircraft is ETOPS-rated (ETOPS330),"623,908 pounds","432,000 pounds","623,908 pounds","457,000 pounds",2 x Trent XWB-84,487 knots,"12,000 pounds per engine per hour","12,000 pounds","1,000 pounds","Center, Left Main, Right Main",Fill to 95 percent before filling Secondary tanks,NONE,Fill to 100 percent before filling Other tanks,NONE
A380-800,Airbus A380-800,"AFV, DVA","9,444 Statute Miles","9,020 feet","5,000 feet",525 seats,388,,"1,272,067 pounds","813,505 pounds","1,267,658 pounds","868,621 pounds",4 x Engine Alliance GP7000,460 knots,"5,200 pounds per engine per hour","6,000 pounds","3,000 pounds","Center, Center 2, Center 3, Left Main, Left Aux, Left Tip, Right Main, Right Aux, Right Tip",Fill to 95 percent before filling Secondary tanks,NONE,Fill to 0 percent before filling Other tanks,NONE
ATR-42,ATR-42,"AFV, DVA",840 Statute Miles,"3,576 feet","2,907 feet",52 seats,"AT4, AT5, AT6, ATR",,"41,380 pounds","36,817 pounds","41,005 pounds","40,344 pounds",2 x PW-127,300 knots,"1,252 pounds per engine per hour","1,894 pounds",528 pounds,"Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,Center,Fill to 100 percent before filling Other tanks,NONE
ATR-72,ATR-72,"AFV, DVA",949 Statute Miles,"4,373 feet","2,805 feet",70 seats,"AT7, ATR",,"49,978 pounds","44,092 pounds","49,608 pounds","49,272 pounds",2 x PW-127,287 knots,"1,186 pounds per engine per hour","1,894 pounds",528 pounds,"Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
Avro RJ-100,Avro RJ-100,DVA,"1,401 Statute Miles","4,528 feet","3,973 feet",118 seats,RJ,,"102,500 pounds","83,500 pounds","101,500 pounds","88,500 pounds",4 x LF507-1F,414 knots,"1,025 pounds per engine per hour","4,100 pounds",700 pounds,"Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
Avro RJ-70,Avro RJ-70,DVA,"1,687 Statute Miles","4,100 feet","3,550 feet",82 seats,RJ,,"95,000 pounds","74,500 pounds","95,000 pounds","83,500 pounds",4 x LF507-1F,414 knots,"1,025 pounds per engine per hour","4,100 pounds",700 pounds,"Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
Avro RJ-85,Avro RJ-85,"AFV, DVA","1,841 Statute Miles","4,100 feet","3,700 feet",97 seats,RJ,,"101,500 pounds","97,000 pounds","97,000 pounds","85,000 pounds",4 x LF507-1F,414 knots,"1,025 pounds per engine per hour","4,100 pounds",700 pounds,"Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,Center,Fill to 0 percent before filling Other tanks,NONE
B1900,B1900,"AFV, DVA","1,476 Statute Miles","2,470 feet","1,900 feet",19 seats,BE1,,"17,250 pounds","16,500 pounds","17,120 pounds","16,000 pounds",2 x PW PT6A,400 knots,560 pounds per engine per hour,750 pounds,75 pounds,Center,Fill to 0 percent before filling Secondary tanks,NONE,Fill to 0 percent before filling Other tanks,NONE
B247D,Boeing 247D,DVA,748 Statute Miles,"1,500 feet","1,500 feet",10 seats,B247,,"13,650 pounds","13,000 pounds","13,650 pounds","13,650 pounds",2 x P&W R-1340/S1H1-G,170 knots,192 pounds per engine per hour,480 pounds,25 pounds,"Left Main, Right Main",Fill to 100 percent before filling Secondary tanks,NONE,Fill to 0 percent before filling Other tanks,NONE
