ICAO,Airline
AM,AeroMexico
AMH,AeroMexico Historical
SUD,Aeroflot Historical
SU,Aeroflot Russian Airlines
AR,Aerolineas Argentina
UX,Air Europa
AF,Air France
AFH,Air France Historic
RW,Air West
AS,Alaska Airlines
AZD,Alitalia Historic
CI,China Airlines
CID,China Airlines Historic
MU,China Eastern
MUD,China Eastern Historical
CZ,China Southern
CZH,China Southern Historical
OK,Czech Air Lines
DL,Delta Air Lines
DLC,Delta Connection
DVH,Delta Historic
GA,Garuda Indonesia
GLO,Gol Transportes Aereos
HA,Hawaiian Airlines
AZ,ITA Airways
JAD,Jet Airways Historical
KLH,KLM Historic
KL,KLM Royal Dutch Airlines
KQ,Kenya Airways
KQH,Kenya Airways Historic
KE,Korean Air Lines
KEH,Korean Air Lines Historic
ME,Middle East Airlines
NA,National Airlines
NPA,National Parks Airways
NCA,North Central Airlines
NEH,Northeast Airlines
NW,Northwest Airlines
PAH,Pan American Airways
SV,Saudi Arabian Airlines
SVD,Saudia Historical
SK,Scandinavian Airlines
SBS,Seaborne Airlines
FM,Shanghai Airlines
SWR,Swissair
ROH,Tarom Historical
HV,Transavia
HVD,Transavia Historical
RO,Transporturile Aeriene Române
VND,Vietnam Air Historical
VN,Vietnam Airlines
VS,Virgin Atlantic
VSD,Virgin Atlantic Historic
VA,Virgin Australia
WS,WestJet Airlines
WSH,WestJet Airlines Historical
WR,WestJet Encore
WAH,Western Airlines
MF,Xiamen Airlines
