"ICAO","Name","State/Territory","Country","Timezone","Latitude","Longitude","rwy_length"
"EKYT","Aalborg Airport","","Denmark","Europe/Copenhagen","57.09275891","9.849243164","8707"
"EKAH","Aarhus Airport","","Denmark","Europe/Copenhagen","56.29999924","10.619000434899998","9111"
"OIAA","Abadan Ayatollah Jami International Airport","","Iran","Asia/Tehran","30.37109947","48.22829819","10169"
"CYXX","Abbotsford International Airport","British Columbia","Canada","America/Vancouver","49.025299072265625","-122.3610001","9600"
"KABR","Aberdeen Regional Airport","South Dakota","United States","America/Chicago","45.449100494384766","-98.42179871","6901"
"EGPD","Aberdeen International Airport","","United Kingdom","Europe/London","57.20190048217773","-2.197779894","6407"
"OEAB","Abha International Airport","","Saudi Arabia","Asia/Riyadh","18.24040031","42.65660095210001","10991"
"DIAP","Felix-Houphouet-Boigny International Airport","","Cote D'Ivoire","Africa/Abidjan","5.261390209197998","-3.926290035","9843"
"KABI","Abilene Regional Airport","Texas","United States","America/Chicago","32.41130066","-99.68190002","7208"
"OMAA","Zayed International Airport","","United Arab Emirates","Asia/Dubai","24.433000564575195","54.651100158691406","13471"
"DNAA","Nnamdi Azikiwe International Airport","","Nigeria","Africa/Lagos","9.006790161132812","7.263169765472412","11842"
"MMAA","General Juan N. Alvarez International Airport","","Mexico","America/Mexico_City","16.757099151611328","-99.7539978","10832"
"DGAA","Kotoka International Airport","","Ghana","Africa/Accra","5.605189800262451","-0.166786","11165"
"PADK","Adak Airport","Alaska","United States","America/Adak","51.87799835205078","-176.6459961","7790"
"HAAB","Addis Ababa Bole International Airport","","Ethiopia","Africa/Addis_Ababa","8.977890015","38.79930115","12467"
"YPAD","Adelaide International Airport","South Australia","Australia","Australia/Adelaide","-34.94499969","138.5310059","10171"
"TJBQ","Rafael Hernandez International Airport","","Puerto Rico","America/Puerto_Rico","18.49489974975586","-67.12940216","11702"
"MMAS","Aguascalientes International Airport","","Mexico","America/Mexico_City","21.705601","-102.318001","9843"
"VAAH","Sardar Vallabh Patel International Airport","","India","Asia/Calcutta","23.07719994","72.63469696039999","11499"
"KCAK","Akron Canton Regional Airport","Ohio","United States","America/New_York","40.91609954833984","-81.44219971","8204"
"ZWAK","Aksu Hongqipo Airport","","China","Asia/Shanghai","41.262501","80.291702","7874"
"OEBA","King Saud Bin Abdulaziz (Al Baha) Airport","","Saudi Arabia","Asia/Riyadh","20.29610062","41.63430023","10991"
"KABY","Southwest Georgia Regional Airport","Georgia","United States","America/New_York","31.535499572753903","-84.19450378","6601"
"KALB","Albany International Airport","New York","United States","America/New_York","42.74829864501953","-73.80169678","8500"
"KABQ","Albuquerque International Sunport","New Mexico","United States","America/Denver","35.04019927978516","-106.6090012","13793"
"ENAL","Alesund Airport","","Norway","Europe/Oslo","62.5625","6.119699954986572","7592"
"HEBA","Alexandria International Airport","","Egypt","Africa/Cairo","30.917699813842773","29.696399688720703","11156"
