region_code,region_name,country
APAC,Asia and Pacific,Afghanistan
APAC,Asia and Pacific,Australia
APAC,Asia and Pacific,Bangladesh
APAC,Asia and Pacific,Bhutan
APAC,Asia and Pacific,Brunei Darussalam
APAC,Asia and Pacific,Cambodia
APAC,Asia and Pacific,China
APAC,Asia and Pacific,Cook Islands
APAC,Asia and Pacific,Democratic People's Republic of Korea
APAC,Asia and Pacific,Fiji
APAC,Asia and Pacific,"Hong Kong, China"
APAC,Asia and Pacific,India
APAC,Asia and Pacific,Indonesia
APAC,Asia and Pacific,Japan
APAC,Asia and Pacific,Kiribati
APAC,Asia and Pacific,Lao People's Democratic Republic
APAC,Asia and Pacific,"Macao, China"
APAC,Asia and Pacific,Malaysia
APAC,Asia and Pacific,Maldives
APAC,Asia and Pacific,Marshall Islands
APAC,Asia and Pacific,Micronesia (Federated States of)
APAC,Asia and Pacific,Mongolia
APAC,Asia and Pacific,Myanmar
APAC,Asia and Pacific,Nauru
APAC,Asia and Pacific,Nepal
APAC,Asia and Pacific,New Zealand
APAC,Asia and Pacific,Pakistan
APAC,Asia and Pacific,Palau
APAC,Asia and Pacific,Papua New Guinea
APAC,Asia and Pacific,Philippines
APAC,Asia and Pacific,Republic of Korea
APAC,Asia and Pacific,Samoa
APAC,Asia and Pacific,Singapore
APAC,Asia and Pacific,Solomon Islands
APAC,Asia and Pacific,Sri Lanka
APAC,Asia and Pacific,Thailand
APAC,Asia and Pacific,Timor Leste
APAC,Asia and Pacific,Tonga
APAC,Asia and Pacific,Tuvalu
APAC,Asia and Pacific,Vanuatu
APAC,Asia and Pacific,Viet Nam
ESAF,Eastern and Southern African,Angola
ESAF,Eastern and Southern African,Botswana
ESAF,Eastern and Southern African,Burundi
ESAF,Eastern and Southern African,Comoros
ESAF,Eastern and Southern African,Djibouti
ESAF,Eastern and Southern African,Eritrea
ESAF,Eastern and Southern African,Eswatini
ESAF,Eastern and Southern African,Ethiopia
ESAF,Eastern and Southern African,Kenya
ESAF,Eastern and Southern African,Lesotho
ESAF,Eastern and Southern African,Madagascar
ESAF,Eastern and Southern African,Malawi
ESAF,Eastern and Southern African,Mauritius
ESAF,Eastern and Southern African,Mozambique
ESAF,Eastern and Southern African,Namibia
ESAF,Eastern and Southern African,Rwanda
ESAF,Eastern and Southern African,Seychelles
ESAF,Eastern and Southern African,Somalia
ESAF,Eastern and Southern African,South Africa
ESAF,Eastern and Southern African,South Sudan
ESAF,Eastern and Southern African,Uganda
ESAF,Eastern and Southern African,United Republic of Tanzania
ESAF,Eastern and Southern African,Zambia
ESAF,Eastern and Southern African,Zimbabwe
EUR/NAT,European and North Atlantic,Albania
EUR/NAT,European and North Atlantic,Algeria
EUR/NAT,European and North Atlantic,Andorra
EUR/NAT,European and North Atlantic,Armenia
EUR/NAT,European and North Atlantic,Austria
EUR/NAT,European and North Atlantic,Azerbaijan
EUR/NAT,European and North Atlantic,Belarus
EUR/NAT,European and North Atlantic,Belgium
EUR/NAT,European and North Atlantic,Bosnia and Herzegovina
EUR/NAT,European and North Atlantic,Bulgaria
EUR/NAT,European and North Atlantic,Croatia
EUR/NAT,European and North Atlantic,Cyprus
EUR/NAT,European and North Atlantic,Czechia
EUR/NAT,European and North Atlantic,Denmark
EUR/NAT,European and North Atlantic,Estonia
EUR/NAT,European and North Atlantic,Finland
EUR/NAT,European and North Atlantic,France
EUR/NAT,European and North Atlantic,Georgia
EUR/NAT,European and North Atlantic,Germany
EUR/NAT,European and North Atlantic,Greece
EUR/NAT,European and North Atlantic,Hungary
EUR/NAT,European and North Atlantic,Iceland
EUR/NAT,European and North Atlantic,Ireland
EUR/NAT,European and North Atlantic,Israel
